address,area,buildYear,date,floor,numOfRooms,price,pricePerMeter,size
אחיעזר 10,התקווה,1950,11/1/2015,3,1.5,"1,290,000","18,125",32
נטעים 14,התקווה,1970,06/1/2015,2,2,"1,450,000","14,166",60
המכבש 10,התקווה,1950,04/1/2015,1,2.5,"950,000","7,894",57
בועז 25,התקווה,1950,01/1/2015,1,2,"1,500,000","10,526",57
רזי 3,התקווה,2012,01/1/2015,1,4,"1,500,000","19,843",64
כוכבי יצחק 3,שפירא,1975,22/7/2014,None,5,"970,000","17,300",100
לוינסקי 94,שפירא,2011,21/7/2014,None,2,"1,025,000","22,777",63
שדרות חכמי ישראל 7,שפירא,1980,15/7/2014,None,3,"399,996","12,666",75
שדרות חכמי ישראל 7,שפירא,None,15/7/2014,None,None,"401,602",None,None
לוינסקי 140,שפירא,1960,21/1/2021,2,3,"1,450,000","28,431",51
דרך ההגנה 13,שפירא,1960,21/1/2021,2,3,"1,450,000","28,431",51
וולפסון 61,שפירא,1960,22/5/2020,1,2,"1,740,000","37,021",47
וולפסון 78,שפירא,1960,22/5/2020,1,2,"1,740,000","37,021",47
מאור הגולה 19,שפירא,1950,27/12/2019,2,2,"566,666","8,457",67
שיפר 11,שפירא,1950,27/12/2019,2,2,"566,667","8,457",67
שיפר 11,שפירא,1950,27/12/2019,2,2,"500,000","9,615",52
מאור הגולה 21,שפירא,1950,27/12/2019,1,2,"500,000","9,615",52
שיפר 11,שפירא,1950,27/12/2019,1,2,"566,666","8,457",67
מסילת ישרים 76,שפירא,1930,17/9/2019,6,4,"16,521,739","83,866",197
מסילת ישרים 84,שפירא,1930,17/9/2019,1,4,"16,521,739","83,866",197
רבי מאיר בעל הנס 27,שפירא,1960,04/5/2019,1,2,"500,000","3,571",140
רבי מאיר בעל הנס 27,שפירא,1960,04/5/2019,1,2,"500,000","3,571",140
חכמי אתונה 18,שפירא,1979,04/5/2019,2,2,"500,000","20,481",83
גולומב אליהו 51,שפירא,1979,01/3/2019,1,2,"1,700,000","20,481",83
גולומב 57,שפירא,1950,01/3/2019,1,3,"1,700,000","28,014",67
שוקן 6,שפירא,1950,18/1/2019,3,3,"1,877,000","28,014",67
דרך שלמה 72,שפירא,1950,18/1/2019,2,3.5,"1,877,000","24,210",95
הקונגרס 38,שפירא,1950,04/1/2019,1,3.5,"2,300,000","24,210",95
הקונגרס 38,שפירא,1940,04/1/2019,2,2,"2,300,000","131,313",20
חזקיהו המלך 50,שפירא,1940,16/11/2018,1,2,"36,111","131,313",20
חזקיהו המלך 48,שפירא,1988,16/11/2018,4,2,"2,626,272","4,000",50
חזקיהו המלך 50,שפירא,1988,16/11/2018,None,2,"2,626,272","4,000",50
שיפר 11,שפירא,1970,12/5/2018,None,3,"200,000","25,468",64
קבוץ גלויות 91,שפירא,1970,12/5/2018,None,3,"200,000","25,468",64
כוכבי יצחק,שפירא,2016,04/5/2018,None,3,"1,630,000","36,949",59
האסיף 10,שפירא,1970,04/5/2018,None,3,"1,630,000","16,153",65
כרם חמד 7,שפירא,1970,14/1/2018,None,3,"1,610,000","26,290",62
הרצל 121,שפירא,1955,15/11/2016,None,2,"2,180,000","14,888",45
רבי ישראל מסלנט 26,שפירא,2011,09/11/2016,None,4,"1,050,000","28,117",85
קהלת ניו יורק 44,התקווה,2022,21/1/2021,1,3,"2,050,000","28,873",71
כוכבי יצחק,שפירא,1960,22/6/2016,None,2.5,"1,630,000","21,145",48
האסיף 8,שפירא,1975,22/6/2016,None,4,"1,630,000","25,396",63
רויגו אברהם 9,שפירא,1950,10/6/2016,None,2,"670,000","30,729",48
מסילת ישרים 93,שפירא,1970,01/5/2016,None,3,"2,390,000","21,090",55
לבנדה 20,שפירא,1974,14/3/2016,None,3,"1,015,000","20,507",69
האסיף 8,שפירא,1950,14/3/2016,None,3,"1,600,000","3,384",78
לבנדה 20,שפירא,1970,14/3/2016,None,3,"1,015,000","22,000",50
שיבת ציון 14,שפירא,1960,17/2/2016,None,3,"1,475,000","19,191",99
שיבת ציון 14,שפירא,1970,17/2/2016,None,1,"1,475,000","22,307",26
שיבת ציון 14,שפירא,None,17/2/2016,None,None,"1,475,000",None,None
כוכבי יצחק 7,שפירא,None,08/2/2016,None,None,"1,160,000",None,None
חכמי אתונה 69,שפירא,None,01/2/2016,None,None,"1,415,000",None,None
דוד תדהר 6,התקווה,2022,21/1/2021,1,3,"2,050,000","28,873",71
שמחה 10,התקווה,1950,07/1/2021,4,3,"1,400,000","25,925",54
שמחה 22,התקווה,1950,07/1/2021,1,3,"1,400,000","25,925",54
דרך משה דיין 29,התקווה,1970,01/1/2021,1,3,"1,465,000","21,544",68
דרך משה דיין 27,התקווה,1970,01/1/2021,1,3,"1,465,000","21,544",68
גולומב 23,שפירא,None,18/1/2016,None,None,"396,000",None,None
גולומב 23,שפירא,None,18/1/2016,None,None,"1,320,000",None,None
גולומב 23,שפירא,None,18/1/2016,None,None,"264,000",None,None
גולומב אליהו 23,שפירא,None,18/1/2016,None,None,"264,000",None,None
דרך שלמה 123,שפירא,None,14/1/2016,None,None,"1,100,000",None,None
שד חכמי לובלין 8,שפירא,None,06/1/2016,None,None,"1,900,000",None,None
הרטוב 11,התקווה,1960,19/4/2020,3,3,"1,581,325","28,237",56
הרטוב 13,התקווה,1950,19/4/2020,4,3,"12,650,602","23,880",67
עברי 18,התקווה,1960,19/4/2020,2,3,"1,600,000","27,659",57
הרטוב 13,התקווה,1950,19/4/2020,1,3,"1,050,000","23,880",67
לבנדה 20,שפירא,None,12/11/2015,None,None,"580,000",None,None
הרטוב 13,התקווה,1940,19/4/2020,1,2,"1,050,000","21,212",33
הרטוב 13,התקווה,1940,19/4/2020,1,2,"1,576,576","21,212",33
הרטוב 13,התקווה,1970,19/4/2020,None,4,"43,750","13,666",132
עברי 45,התקווה,1970,19/4/2020,None,4,"1,600,000","13,666",132
נתן 23,התקווה,1996,20/3/2020,None,2,"700,000","9,659",88
נתן 30,התקווה,1996,20/3/2020,None,2,"700,000","9,659",88
אחימעץ 20,התקווה,2022,06/3/2020,None,5,"1,803,938","19,658",117
אחימעץ 20,התקווה,2022,06/3/2020,None,5,"1,803,938","19,658",117
בועז 7,התקווה,2022,10/1/2020,None,5,"850,000","19,703",118
נדב 10,התקווה,1950,10/1/2020,None,5,"850,000",312,94
דוד תדהר 4,התקווה,1950,06/12/2019,None,5,"2,300,000",312,94
תדהר דוד 2,התקווה,1950,06/12/2019,None,1,"2,300,000","3,875",32
דוד תדהר 4,התקווה,1950,11/10/2019,None,1,"2,325,000","3,875",32
חנוך 3,התקווה,1940,30/8/2019,None,5,"29,365","20,000",80
חנוך 3,התקווה,1940,30/8/2019,None,5,"29,365","20,000",80
האקליפטוס 20,התקווה,1991,30/8/2019,None,4,"29,365","17,589",112
רצון 6,התקווה,1991,07/12/2018,None,4,"372,000","17,589",112
רצון 6,התקווה,1940,07/12/2018,None,3,"124,000","4,615",65
רצון 6,התקווה,1940,07/12/2018,None,3,"124,000","4,615",65
רצון 3,התקווה,1940,07/12/2018,None,2,"124,000","10,810",37
רצון 6,התקווה,1940,03/6/2018,None,2,"1,600,000","10,810",37
"לח""י 9",התקווה,1950,03/6/2018,None,3,"1,600,000","15,384",78
אחימעץ 41,התקווה,1950,18/1/2018,None,3,"1,970,000","15,384",78
אחימעץ 43,התקווה,1947,18/1/2018,None,3.5,"1,970,000","23,703",54
רוני 11,התקווה,1930,02/1/2018,None,2,"300,000","19,000",50
רוני 11,התקווה,None,02/1/2018,None,None,"150,000",None,None
רוני 11,התקווה,None,02/1/2018,None,None,"50,000",None,None
רוני 25,התקווה,None,02/1/2018,None,None,"300,000",None,None
עברי 45,התקווה,None,12/12/2017,None,None,"400,000",None,None
שבתאי 38,התקווה,None,12/12/2017,None,None,"400,000",None,None
שבתאי 38,התקווה,None,12/12/2017,None,None,"400,000",None,None
רצון 6,התקווה,None,21/11/2017,None,None,"1,200,000",None,None
אלבז נתן 74,התקווה,None,21/11/2017,None,None,"1,200,000",None,None
לבלוב 20,התקווה,None,31/7/2017,None,None,"1,280,000",None,None
פנואל 3,התקווה,None,31/7/2017,None,None,"950,000",None,None
רצון 6,התקווה,None,31/7/2017,None,None,"950,000",None,None
בר יוחאי 47,שפירא,1952,12/11/2015,1,1,"1,000,000","33,333",30
ראשית חכמה 12,שפירא,1950,20/9/2015,1,3,"1,400,000","18,666",75
קבוץ גלויות 93,שפירא,2010,06/9/2015,1,2,"760,000","15,200",50
מאור הגולה 3,שפירא,1970,02/9/2015,3,3.5,"1,330,000","15,113",88
חובות הלבבות 22,שפירא,1950,30/8/2015,2,1,"760,000","30,400",25
