address,area,buildYear,date,floor,numOfRooms,price,pricePerMeter,size
אחיעזר 10,Hatikva,1950,11/1/2015,3,1.5,1290000,18125,32
נטעים 14,Hatikva,1970,06/1/2015,2,2,1450000,14166,60
המכבש 10,Hatikva,1950,04/1/2015,1,2.5,950000,7894,57
בועז 25,Hatikva,1950,01/1/2015,1,2,1500000,10526,57
רזי 3,Hatikva,2012,01/1/2015,1,4,1500000,19843,64
כוכבי יצחק 3,shapira,1975,22/7/2014,,5,970000,17300,100
לוינסקי 94,shapira,2011,21/7/2014,,2,1025000,22777,63
שדרות חכמי ישראל 7,shapira,1980,15/7/2014,,3,399996,12666,75
לוינסקי 140,shapira,1960,21/1/2021,2,3,1450000,28431,51
דרך ההגנה 13,shapira,1960,21/1/2021,2,3,1450000,28431,51
וולפסון 61,shapira,1960,22/5/2020,1,2,1740000,37021,47
וולפסון 78,shapira,1960,22/5/2020,1,2,1740000,37021,47
מאור הגולה 19,shapira,1950,27/12/2019,2,2,566666,8457,67
שיפר 11,shapira,1950,27/12/2019,2,2,566667,8457,67
שיפר 11,shapira,1950,27/12/2019,2,2,500000,9615,52
מאור הגולה 21,shapira,1950,27/12/2019,1,2,500000,9615,52
שיפר 11,shapira,1950,27/12/2019,1,2,566666,8457,67
רבי מאיר בעל הנס 27,shapira,1960,04/5/2019,1,2,500000,3571,140
חכמי אתונה 18,shapira,1979,04/5/2019,2,2,500000,20481,83
גולומב אליהו 51,shapira,1979,01/3/2019,1,2,1700000,20481,83
גולומב 57,shapira,1950,01/3/2019,1,3,1700000,28014,67
שוקן 6,shapira,1950,18/1/2019,3,3,1877000,28014,67
דרך שלמה 72,shapira,1950,18/1/2019,2,3.5,1877000,24210,95
הקונגרס 38,shapira,1950,04/1/2019,1,3.5,2300000,24210,95
הקונגרס 38,shapira,1940,04/1/2019,2,2,2300000,131313,20
חזקיהו המלך 50,shapira,1940,16/11/2018,1,2,36111,131313,20
חזקיהו המלך 48,shapira,1988,16/11/2018,4,2,2626272,4000,50
חזקיהו המלך 50,shapira,1988,16/11/2018,,2,2626272,4000,50
שיפר 11,shapira,1970,12/5/2018,,3,200000,25468,64
קבוץ גלויות 91,shapira,1970,12/5/2018,,3,200000,25468,64
כוכבי יצחק,shapira,2016,04/5/2018,,3,1630000,36949,59
האסיף 10,shapira,1970,04/5/2018,,3,1630000,16153,65
כרם חמד 7,shapira,1970,14/1/2018,,3,1610000,26290,62
הרצל 121,shapira,1955,15/11/2016,,2,2180000,14888,45
רבי ישראל מסלנט 26,shapira,2011,09/11/2016,,4,1050000,28117,85
קהלת ניו יורק 44,Hatikva,2022,21/1/2021,1,3,2050000,28873,71
כוכבי יצחק,shapira,1960,22/6/2016,,2.5,1630000,21145,48
האסיף 8,shapira,1975,22/6/2016,,4,1630000,25396,63
רויגו אברהם 9,shapira,1950,10/6/2016,,2,670000,30729,48
מסילת ישרים 93,shapira,1970,01/5/2016,,3,2390000,21090,55
לבנדה 20,shapira,1974,14/3/2016,,3,1015000,20507,69
האסיף 8,shapira,1950,14/3/2016,,3,1600000,3384,78
לבנדה 20,shapira,1970,14/3/2016,,3,1015000,22000,50
שיבת ציון 14,shapira,1960,17/2/2016,,3,1475000,19191,99
שיבת ציון 14,shapira,1970,17/2/2016,,1,1475000,22307,26
דוד תדהר 6,Hatikva,2022,21/1/2021,1,3,2050000,28873,71
שמחה 10,Hatikva,1950,07/1/2021,4,3,1400000,25925,54
שמחה 22,Hatikva,1950,07/1/2021,1,3,1400000,25925,54
דרך משה דיין 29,Hatikva,1970,01/1/2021,1,3,1465000,21544,68
דרך משה דיין 27,Hatikva,1970,01/1/2021,1,3,1465000,21544,68
הרטוב 11,Hatikva,1960,19/4/2020,3,3,1581325,28237,56
הרטוב 13,Hatikva,1950,19/4/2020,4,3,12650602,23880,67
עברי 18,Hatikva,1960,19/4/2020,2,3,1600000,27659,57
הרטוב 13,Hatikva,1950,19/4/2020,1,3,1050000,23880,67
הרטוב 13,Hatikva,1940,19/4/2020,1,2,1050000,21212,33
הרטוב 13,Hatikva,1940,19/4/2020,1,2,1576576,21212,33
הרטוב 13,Hatikva,1970,19/4/2020,,4,43750,13666,132
עברי 45,Hatikva,1970,19/4/2020,,4,1600000,13666,132
נתן 23,Hatikva,1996,20/3/2020,,2,700000,9659,88
נתן 30,Hatikva,1996,20/3/2020,,2,700000,9659,88
אחימעץ 20,Hatikva,2022,06/3/2020,,5,1803938,19658,117
בועז 7,Hatikva,2022,10/1/2020,,5,850000,19703,118
נדב 10,Hatikva,1950,10/1/2020,,5,850000,312,94
דוד תדהר 4,Hatikva,1950,06/12/2019,,5,2300000,312,94
תדהר דוד 2,Hatikva,1950,06/12/2019,,1,2300000,3875,32
דוד תדהר 4,Hatikva,1950,11/10/2019,,1,2325000,3875,32
חנוך 3,Hatikva,1940,30/8/2019,,5,29365,20000,80
האקליפטוס 20,Hatikva,1991,30/8/2019,,4,29365,17589,112
רצון 6,Hatikva,1991,07/12/2018,,4,372000,17589,112
רצון 6,Hatikva,1940,07/12/2018,,3,124000,4615,65
רצון 3,Hatikva,1940,07/12/2018,,2,124000,10810,37
רצון 6,Hatikva,1940,03/6/2018,,2,1600000,10810,37
"לח""י 9",Hatikva,1950,03/6/2018,,3,1600000,15384,78
אחימעץ 41,Hatikva,1950,18/1/2018,,3,1970000,15384,78
אחימעץ 43,Hatikva,1947,18/1/2018,,3.5,1970000,23703,54
